City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
118,Lorengau,-2.0226,147.2712,79.14,83,100,10.09,overcast clouds,PG,2022-01-30 18:39:43
119,Huanan,46.2167,130.5167,-12.03,99,87,2.48,overcast clouds,CN,2022-01-30 18:39:43
120,Puerto Suarez,-18.95,-57.8,90.16,62,75,5.75,broken clouds,BO,2022-01-30 18:39:43
121,Mar Del Plata,-38.0023,-57.5575,86.02,56,40,20.0,light rain,AR,2022-01-30 18:39:43
122,Hoquiam,46.9809,-123.8893,48.18,93,100,18.41,mist,US,2022-01-30 18:35:05
123,Dutlwe,-23.9833,23.9,70.88,74,100,9.89,overcast clouds,BW,2022-01-30 18:39:44
124,Corrente,-3.7367,-43.3394,77.36,80,98,3.2,overcast clouds,BR,2022-01-30 18:39:44
125,Gasa,31.5,34.4667,53.91,65,0,4.25,clear sky,PS,2022-01-30 18:36:55
126,Pali,25.7667,73.3333,62.62,42,0,7.9,clear sky,IN,2022-01-30 18:39:44
127,Port Lincoln,-34.7333,135.8667,65.89,85,2,9.64,clear sky,AU,2022-01-30 18:36:11
128,Hithadhoo,-0.6,73.0833,81.7,70,100,8.39,overcast clouds,MV,2022-01-30 18:39:45
129,Cockburn Town,21.4612,-71.1419,75.16,69,75,13.8,broken clouds,TC,2022-01-30 18:39:45
130,Grand Gaube,-20.0064,57.6608,81.0,75,100,1.01,overcast clouds,MU,2022-01-30 18:39:45
131,Saint George,37.1041,-113.5841,55.35,26,0,3.0,clear sky,US,2022-01-30 18:37:53
132,Quelimane,-17.8786,36.8883,80.55,78,20,8.05,few clouds,MZ,2022-01-30 18:39:46
133,Holoby,51.0865,25.0077,34.05,96,100,25.21,light snow,UA,2022-01-30 18:39:46
134,Duluth,46.7833,-92.1066,22.41,68,75,5.01,broken clouds,US,2022-01-30 18:38:07
135,Aromashevo,56.8602,68.6375,3.85,96,100,5.55,overcast clouds,RU,2022-01-30 18:39:46
136,Madison Heights,42.4859,-83.1052,26.83,63,100,1.01,overcast clouds,US,2022-01-30 18:35:25
137,Liberal,37.0431,-100.921,52.16,25,0,3.44,clear sky,US,2022-01-30 18:38:34
138,Miechow,50.3565,20.0279,38.84,93,100,27.18,overcast clouds,PL,2022-01-30 18:40:47
139,Duzce,40.8389,31.1639,35.83,91,100,5.19,overcast clouds,TR,2022-01-30 18:40:47
140,Kucura,45.5195,19.5838,45.23,57,6,14.16,clear sky,RS,2022-01-30 18:40:47
141,Kingman,35.1894,-114.053,59.13,14,0,5.01,clear sky,US,2022-01-30 18:40:48
142,Gua Musang,4.8823,101.9644,71.22,90,19,0.98,few clouds,MY,2022-01-30 18:40:48
143,Baraki Barak,33.9675,68.9486,15.3,79,0,3.15,clear sky,AF,2022-01-30 18:40:48
144,Brae,60.3964,-1.353,39.11,83,100,18.32,overcast clouds,GB,2022-01-30 18:39:06
145,Bengkulu,-3.8004,102.2655,75.79,92,100,4.09,light rain,ID,2022-01-30 18:40:48
146,Nefteyugansk,61.0998,72.6035,3.45,96,100,7.7,overcast clouds,RU,2022-01-30 18:40:49
147,Igarka,67.4667,86.5833,-2.56,97,98,10.42,overcast clouds,RU,2022-01-30 18:40:49
148,Todos Santos,23.45,-110.2167,80.01,57,68,10.67,broken clouds,MX,2022-01-30 18:40:49
149,Maragogi,-9.0122,-35.2225,82.47,72,100,8.61,overcast clouds,BR,2022-01-30 18:40:50
150,Belmonte,-15.8631,-38.8828,88.3,64,42,12.06,scattered clouds,BR,2022-01-30 18:40:50
151,Tucuma,-0.1833,-50.05,78.84,89,90,6.26,light rain,BR,2022-01-30 18:40:50
152,Burns Lake,54.2331,-125.7533,20.62,94,84,3.06,broken clouds,CA,2022-01-30 18:40:51
153,Bambous Virieux,-20.3428,57.7575,80.85,83,75,8.05,light rain,MU,2022-01-30 18:40:51
154,Nikolskoye,59.7035,30.7861,30.7,96,100,7.31,snow,RU,2022-01-30 18:38:10
155,Gizo,-8.103,156.8419,81.66,78,100,7.85,moderate rain,SB,2022-01-30 18:40:51
156,Caucaia,-3.7361,-38.6531,87.75,74,20,19.57,few clouds,BR,2022-01-30 18:40:51
157,Kavaratti,10.5669,72.642,81.3,72,24,11.01,few clouds,IN,2022-01-30 18:40:52
158,Macherla,16.4833,79.4333,69.13,35,2,0.4,clear sky,IN,2022-01-30 18:40:52
159,Itoman,26.1247,127.6694,59.02,63,75,25.32,broken clouds,JP,2022-01-30 18:40:52
160,Atuona,-9.8,-139.0333,77.81,77,26,14.65,light rain,PF,2022-01-30 18:38:04
161,Hobart,-42.8794,147.3294,57.06,94,75,1.01,broken clouds,AU,2022-01-30 18:40:53
162,Sao Miguel Do Araguaia,-13.275,-50.1628,75.38,88,100,5.41,light rain,BR,2022-01-30 18:40:53
163,Naryan-Mar,67.6713,53.087,11.71,92,100,13.69,overcast clouds,RU,2022-01-30 18:40:53
164,Rocha,-34.4833,-54.3333,83.05,43,0,9.1,clear sky,UY,2022-01-30 18:40:53
165,Dombarovskiy,50.7587,59.5386,25.74,91,100,16.78,overcast clouds,RU,2022-01-30 18:40:54
166,Benghazi,32.1167,20.0667,56.14,65,39,22.97,scattered clouds,LY,2022-01-30 18:37:18
167,Cheremukhovo,60.3484,59.9851,-3.98,100,98,1.36,overcast clouds,RU,2022-01-30 18:40:54
168,Korla,41.7597,86.1469,23.27,59,100,2.46,overcast clouds,CN,2022-01-30 18:39:12
169,Kodiak,57.79,-152.4072,24.31,68,20,13.8,few clouds,US,2022-01-30 18:40:54
170,Butaritari,3.0707,172.7902,81.64,77,77,21.81,light rain,KI,2022-01-30 18:38:06
171,Gazanjyk,39.2446,55.5154,43.45,64,70,9.66,broken clouds,TM,2022-01-30 18:40:55
172,Wasilla,61.5814,-149.4394,24.8,83,20,3.44,few clouds,US,2022-01-30 18:39:56
173,Constantine,36.365,6.6147,45.81,57,0,6.91,clear sky,DZ,2022-01-30 18:40:55
174,Clyde River,70.4692,-68.5914,-16.37,69,75,2.3,snow,CA,2022-01-30 18:40:55
175,Medicine Hat,50.0501,-110.6683,44.31,53,100,1.99,overcast clouds,CA,2022-01-30 18:40:55
176,Wajima,37.4,136.9,34.77,55,100,9.89,overcast clouds,JP,2022-01-30 18:40:56
177,Monrovia,6.3005,-10.7969,83.97,81,8,10.4,clear sky,LR,2022-01-30 18:40:56
178,Bilibino,68.0546,166.4372,-10.46,93,99,4.83,overcast clouds,RU,2022-01-30 18:40:56
179,Mujiayingzi,42.1167,118.7833,18.45,66,100,1.54,overcast clouds,CN,2022-01-30 18:40:56
180,Kushmurun,52.4503,64.6311,8.01,96,32,9.86,scattered clouds,KZ,2022-01-30 18:40:57
181,Ponta Do Sol,32.6667,-17.1,66.13,40,1,8.46,clear sky,PT,2022-01-30 18:40:57
182,Pangnirtung,66.1451,-65.7125,-16.6,63,75,4.61,broken clouds,CA,2022-01-30 18:40:57
183,Borogontsy,62.6683,131.1683,-36.18,100,73,0.92,broken clouds,RU,2022-01-30 18:40:57
184,Kachug,53.9606,105.8817,-20.29,100,100,0.43,overcast clouds,RU,2022-01-30 18:40:58
185,Opuwo,-18.0607,13.84,70.75,44,80,14.12,broken clouds,NA,2022-01-30 18:40:58
186,Cumpas,29.9833,-109.7833,66.94,22,1,7.23,clear sky,MX,2022-01-30 18:41:58
187,Shubarkuduk,49.1447,56.4872,25.65,95,100,16.22,light snow,KZ,2022-01-30 18:41:59
188,Riyadh,24.6877,46.7219,60.94,38,0,13.76,clear sky,SA,2022-01-30 18:38:05
189,Sapele,5.8941,5.6767,81.01,29,99,4.88,overcast clouds,NG,2022-01-30 18:41:59
190,Boda,4.3189,17.4695,79.25,18,100,4.63,overcast clouds,CF,2022-01-30 18:41:59
191,Torbay,47.6666,-52.7314,47.17,84,100,28.77,overcast clouds,CA,2022-01-30 18:42:00
192,Singleton,-32.5667,151.1833,71.49,96,98,0.47,overcast clouds,AU,2022-01-30 18:42:00
193,Ulenje,-8.9333,33.6833,57.34,95,100,4.65,overcast clouds,TZ,2022-01-30 18:42:00
194,Leningradskiy,69.3833,178.4167,-9.45,93,100,0.69,overcast clouds,RU,2022-01-30 18:42:00
195,Stornoway,58.2093,-6.3865,40.96,92,75,27.0,heavy intensity rain,GB,2022-01-30 18:42:01
196,Yurimaguas,-5.9,-76.0833,87.96,66,40,6.91,scattered clouds,PE,2022-01-30 18:42:01
197,Zeya,53.75,127.2667,-6.27,90,38,3.96,scattered clouds,RU,2022-01-30 18:42:01
198,Kaitangata,-46.2817,169.8464,55.63,93,24,2.89,few clouds,NZ,2022-01-30 18:42:02
199,Berlevag,70.8578,29.0864,30.2,71,100,22.73,light snow,NO,2022-01-30 18:42:02
200,Samarkand,39.6542,66.9597,31.42,93,100,16.11,mist,UZ,2022-01-30 18:42:02
201,Toamasina,-18.1667,49.3833,77.0,83,40,3.44,scattered clouds,MG,2022-01-30 18:42:02
202,Marienburg,54.0359,19.0266,41.95,68,100,25.77,overcast clouds,PL,2022-01-30 18:42:03
203,Luderitz,-26.6481,15.1594,67.96,81,87,10.33,overcast clouds,NA,2022-01-30 18:42:03
204,Coos Bay,43.3665,-124.2179,50.14,100,100,9.22,overcast clouds,US,2022-01-30 18:42:03
205,Risor,58.7206,9.2342,32.29,67,100,5.97,overcast clouds,NO,2022-01-30 18:42:04
206,Praia,14.9215,-23.5087,70.34,68,100,31.07,overcast clouds,CV,2022-01-30 18:42:04
207,Zyryanka,65.75,150.85,-17.32,97,100,11.18,overcast clouds,RU,2022-01-30 18:42:04
208,Nouadhibou,20.931,-17.0347,67.98,68,100,14.97,overcast clouds,MR,2022-01-30 18:42:04
209,Mahajanga,-15.7167,46.3167,82.42,83,20,9.22,few clouds,MG,2022-01-30 18:42:05
210,Zhigansk,66.7697,123.3711,-32.82,100,99,1.66,overcast clouds,RU,2022-01-30 18:42:05
211,Ha Tinh,18.3333,105.9,63.34,91,100,6.42,light rain,VN,2022-01-30 18:42:05
212,Moose Factory,51.2585,-80.6094,-0.4,71,0,12.66,clear sky,CA,2022-01-30 18:42:05
213,San Buenaventura,27.0833,-101.5333,64.47,31,0,2.24,clear sky,MX,2022-01-30 18:42:06
214,Trelew,-43.249,-65.3051,64.58,29,44,17.2,scattered clouds,AR,2022-01-30 18:41:34
215,Banyo,6.75,11.8167,70.16,23,14,4.23,few clouds,CM,2022-01-30 18:42:06
216,Ladario,-19.0047,-57.6017,89.89,62,75,5.75,broken clouds,BR,2022-01-30 18:42:06
217,Kruisfontein,-34.0033,24.7314,72.88,87,100,12.28,overcast clouds,ZA,2022-01-30 18:42:06
